habitaciones;banos;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;ascensor;circuito_cerrado_tv;parqueadero_visitantes;porteria-recepcion;zonas_verdes;salon_comunal;balcon;barra_estilo_americano;calentador;chimenea;citofono;cocina_integral;terraza;vigilancia;parques_cercanos;estudio;patio;bodega;nombre;ubicacion;precio
3;1;0;51;46;3;Bueno;9 a 15 anos;†210000;†4117647,06;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;Apartamento;Colina;210000000
2;3;2;156;156;6;No definida;mas de 30 anos;0;†6089743,59;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;Apartamento;La Cabrera;950000000
5;3;2;260;260;4;No definida;mas de 30 anos;0;†3807692,31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
3;2;2;94;0;4;Excelente;9 a 15 anos;†380000;†5085106,38;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Portales del norte;478000000
5;7;4;570;0;5;Excelente;9 a 15 anos;†1200000;†5087017,54;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Casa;San Jose de Bavaria;2899600000
3;4;2;117;0;5;Excelente;16 a 30 anos;†670000;†5085470,09;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;Apartamento;Unicentro Bogota;595000000
4;4;2;160;0;4;Excelente;9 a 15 anos;0;†6562500;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Santafe;1050000000
1;3;2;336;300;4;Bueno;16 a 30 anos;0;†3184523,81;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;1;Casa;Normandia;1070000000
2;2;2;77;0;6;Bueno;1 a 8 anos;†555000;†10259740,26;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;Apartamento;Chico;790000000
3;4;3;200;185;6;Excelente;1 a 8 anos;†1050000;†9500000;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Santa Barbara Alta;1900000000
3;2;1;88;88;6;Excelente;1 a 8 anos;0;†6250000;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Casablanca;550000000
